ts_iso,text
2026-02-24T11:36:21.112,"{""ok"":""device updated"",""time"":0,""auto"":true,""period"":100}"
2026-02-24T11:36:21.192,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.14,0.23,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.61,0.92,73.51],""mag"":[0.38,0.13,0.76],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.290,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.11,0.22,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.61,0.92,73.51],""mag"":[0.38,0.12,0.76],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.394,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.12,0.23,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.61,0.92,73.50],""mag"":[0.38,0.16,0.72],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.492,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.15,0.24,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.60,0.94,73.48],""mag"":[0.40,0.13,0.73],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.597,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.13,0.23,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.60,0.94,73.47],""mag"":[0.37,0.14,0.73],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.694,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.15,0.20,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.61,0.93,73.46],""mag"":[0.36,0.11,0.76],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.799,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.13,0.22,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.61,0.91,73.46],""mag"":[0.39,0.13,0.70],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:21.905,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.11,0.22,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.61,0.90,73.46],""mag"":[0.38,0.14,0.75],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.009,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.14,0.22,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.62,0.89,73.46],""mag"":[0.37,0.12,0.72],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.100,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.12,0.23,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.62,0.88,73.46],""mag"":[0.38,0.13,0.76],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.204,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.13,0.21,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.63,0.86,73.46],""mag"":[0.39,0.12,0.74],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.309,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.12,0.21,-8.15],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.63,0.84,73.47],""mag"":[0.38,0.09,0.69],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.415,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.10,0.21,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.80,73.49],""mag"":[0.37,0.14,0.73],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.512,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.11,0.22,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.78,73.50],""mag"":[0.39,0.11,0.72],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.610,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.14,0.23,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.66,0.77,73.51],""mag"":[0.39,0.15,0.71],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.715,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.12,0.24,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.66,0.77,73.51],""mag"":[0.37,0.13,0.70],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.812,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.13,0.22,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.66,0.79,73.50],""mag"":[0.39,0.13,0.73],""ai"":{""class"":2,""confidence"":1.00,""time_us"":2903}}}"
2026-02-24T11:36:22.910,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.12,0.21,-8.15],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.80,73.49],""mag"":[0.38,0.15,0.73],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.022,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.12,0.24,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.64,0.83,73.47],""mag"":[0.40,0.13,0.73],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.111,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.14,0.22,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.64,0.84,73.46],""mag"":[0.41,0.12,0.72],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.217,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.15,0.23,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.64,0.82,73.47],""mag"":[0.40,0.14,0.71],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.314,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.13,0.22,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.64,0.81,73.47],""mag"":[0.39,0.12,0.72],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.419,"{""sensor"":{""time"":2,""status"":true,""accel"":[0.14,0.25,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.80,73.48],""mag"":[0.39,0.14,0.71],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.517,"{""sensor"":{""time"":3,""status"":true,""accel"":[0.13,0.23,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.81,73.48],""mag"":[0.38,0.11,0.74],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.614,"{""sensor"":{""time"":3,""status"":true,""accel"":[0.13,0.25,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.79,73.48],""mag"":[0.39,0.13,0.76],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.719,"{""sensor"":{""time"":3,""status"":true,""accel"":[0.14,0.23,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.78,73.49],""mag"":[0.38,0.14,0.77],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.824,"{""sensor"":{""time"":3,""status"":true,""accel"":[0.15,0.22,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.65,0.79,73.48],""mag"":[0.37,0.14,0.70],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
2026-02-24T11:36:23.930,"{""sensor"":{""time"":3,""status"":true,""accel"":[0.14,0.23,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.64,0.82,73.47],""mag"":[0.38,0.12,0.76],""ai"":{""class"":2,""confidence"":1.00,""time_us"":673}}}"
