ts_iso,text
2026-02-02T14:43:52.941,"{""sensor"":{""time"":41013,""status"":true,""ai_label"":0}}"
2026-02-02T14:43:53.211,"{""sensor"":{""time"":41243,""status"":true,""ai_label"":2}}"
2026-02-02T14:43:53.391,"{""sensor"":{""time"":41474,""status"":true,""ai_label"":3}}"
2026-02-02T14:43:53.526,"{""sensor"":{""time"":41589,""status"":true,""ai_label"":2}}"
2026-02-02T15:54:47.923,"{""sensor"":{""time"":4295961,""status"":true,""ai_label"":0}}"
2026-02-02T15:54:47.968,"{""sensor"":{""time"":4296076,""status"":true,""ai_label"":2}}"
2026-02-02T15:54:51.703,"{""sensor"":{""time"":4299760,""status"":true,""ai_label"":0}}"
2026-02-02T15:54:51.793,"{""sensor"":{""time"":4299876,""status"":true,""ai_label"":2}}"
2026-02-02T15:54:52.423,"{""sensor"":{""time"":4300567,""status"":true,""ai_label"":1}}"
2026-02-02T15:54:52.558,"{""sensor"":{""time"":4300682,""status"":true,""ai_label"":2}}"
2026-02-02T15:54:52.828,"{""sensor"":{""time"":4300912,""status"":true,""ai_label"":1}}"
2026-02-02T15:54:52.918,"{""sensor"":{""time"":4301028,""status"":true,""ai_label"":2}}"
