ts_iso,text
2026-02-04T09:56:38.769,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:56:41.776,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:56:42.766,"{""status"":""success"",""msg"":""bmi270 calibrated"",""offsets"":{""accel"":{""x"":0.02,""y"":0.24,""z"":-8.12},""gyro"":{""x"":0.00,""y"":0.00,""z"":0.00}}}"
2026-02-04T09:56:44.791,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:56:47.807,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:56:50.911,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:56:53.836,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:56:56.851,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":654}}"
2026-02-04T09:56:59.867,"{""ai"":{""class"":1,""confidence"":1.00,""time_us"":654}}"
2026-02-04T09:57:02.926,"{""ai"":{""class"":1,""confidence"":1.00,""time_us"":654}}"
2026-02-04T09:57:05.895,"{""ai"":{""class"":0,""confidence"":1.00,""time_us"":619}}"
2026-02-04T09:57:08.911,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:11.927,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:14.942,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:17.957,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:21.017,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:23.987,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:27.002,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:30.062,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:33.032,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:36.046,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:39.063,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:42.078,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:45.092,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:48.108,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:51.123,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:54.137,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:57:57.198,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:00.212,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:03.229,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:06.244,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:09.260,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:12.274,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:15.289,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:18.305,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:21.319,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":655}}"
2026-02-04T09:58:24.334,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:27.350,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:30.365,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:33.381,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:36.395,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:39.410,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:42.425,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:45.441,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:48.454,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:51.470,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:54.529,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T09:58:57.500,"{""ai"":{""class"":2,""confidence"":1.00,""time_us"":657}}"
2026-02-04T10:02:47.414,"{""status"":""success"",""msg"":""bmi270 calibrated"",""offsets"":{""accel"":{""x"":0.02,""y"":0.24,""z"":-8.11},""gyro"":{""x"":0.00,""y"":0.00,""z"":0.00}}}"
