ts_iso,text
2026-01-30T15:47:15.151,"""accel"":[0.09,0.03,-9.78],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:16.141,"""accel"":[0.09,0.02,-9.79],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:17.132,"""accel"":[0.09,0.02,-9.79],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:18.121,"""accel"":[0.08,0.01,-9.78],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:19.111,"""accel"":[0.09,0.02,-9.79],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:20.146,"""accel"":[0.09,0.02,-9.78],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:21.136,"""accel"":[0.09,0.02,-9.79],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:22.126,"""accel"":[0.09,0.02,-9.78],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:23.117,"""accel"":[0.09,0.02,-9.78],""gyro"":[0.00,0.00,0.00]"
2026-01-30T15:47:24.150,"""accel"":[0.09,0.02,-9.79],""gyro"":[0.00,0.00,0.00]"
