ts_iso,text
2026-02-24T15:03:22.168,"{""sensor"":{""time"":343,""status"":true,""accel"":[0.08,0.14,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-97.54,8.83,12.05],""mag"":[0.11,0.31,0.21]}}"
2026-02-24T15:03:22.256,"{""sensor"":{""time"":343,""status"":true,""accel"":[0.10,0.16,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-96.57,8.67,9.97],""mag"":[0.12,0.30,0.15]}}"
2026-02-24T15:03:22.362,"{""sensor"":{""time"":343,""status"":true,""accel"":[0.06,0.16,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-95.48,8.57,7.70],""mag"":[0.10,0.30,0.16]}}"
2026-02-24T15:03:22.466,"{""sensor"":{""time"":343,""status"":true,""accel"":[0.06,0.18,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-94.50,8.49,5.66],""mag"":[0.12,0.30,0.16]}}"
2026-02-24T15:03:22.571,"{""sensor"":{""time"":343,""status"":true,""accel"":[0.11,0.16,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-93.40,8.45,3.37],""mag"":[0.11,0.30,0.14]}}"
2026-02-24T15:03:22.662,"{""sensor"":{""time"":343,""status"":true,""accel"":[0.06,0.14,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-92.42,8.45,1.34],""mag"":[0.12,0.33,0.13]}}"
2026-02-24T15:03:22.767,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.06,0.18,-8.15],""gyro"":[0.00,0.00,0.00],""ypr"":[-91.32,8.50,0.93],""mag"":[0.11,0.30,0.15]}}"
2026-02-24T15:03:22.872,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.08,0.17,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-90.33,8.55,-2.98],""mag"":[0.11,0.28,0.16]}}"
2026-02-24T15:03:22.977,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.08,0.16,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-89.22,8.64,-5.30],""mag"":[0.13,0.29,0.15]}}"
2026-02-24T15:03:23.067,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.07,0.17,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-88.24,8.76,-7.36],""mag"":[0.11,0.30,0.16]}}"
2026-02-24T15:03:23.172,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.07,0.16,-8.09],""gyro"":[0.00,0.00,0.00],""ypr"":[-87.13,8.91,-9.68],""mag"":[0.11,0.30,0.13]}}"
2026-02-24T15:03:23.277,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.07,0.16,-8.11],""gyro"":[0.00,0.00,0.00],""ypr"":[-86.15,9.10,-11.73],""mag"":[0.12,0.31,0.15]}}"
2026-02-24T15:03:23.382,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.08,0.16,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-85.05,9.32,-14.05],""mag"":[0.09,0.29,0.15]}}"
2026-02-24T15:03:23.472,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.09,0.15,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-83.95,9.57,-16.37],""mag"":[0.11,0.32,0.15]}}"
2026-02-24T15:03:23.592,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.07,0.15,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-82.98,9.83,-18.45],""mag"":[0.12,0.33,0.17]}}"
2026-02-24T15:03:23.682,"{""sensor"":{""time"":344,""status"":true,""accel"":[0.05,0.17,-8.09],""gyro"":[0.00,0.00,0.00],""ypr"":[-81.90,10.16,-20.80],""mag"":[0.10,0.32,0.16]}}"
2026-02-24T15:03:23.765,"{""sensor"":{""time"":345,""status"":true,""accel"":[0.33,0.46,-8.17],""gyro"":[0.00,0.00,0.00],""ypr"":[-80.94,10.47,-22.90],""mag"":[0.11,0.31,0.18]}}"
