ts_iso,text
2026-02-24T17:49:34.392,"{""error"":""missing sensor value""}"
2026-02-24T17:50:49.285,"{""sensor"":{""time"":17,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.52,0.60,-169.73],""mag"":[0.49,0.12,0.73]}}"
2026-02-24T17:50:59.560,"{""sensor"":{""time"":27,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.51,0.12,0.72]}}"
2026-02-24T17:50:59.679,"{""sensor"":{""time"":27,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.49,0.13,0.69]}}"
2026-02-24T17:50:59.747,"{""sensor"":{""time"":27,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.49,0.14,0.69]}}"
2026-02-24T17:50:59.867,"{""sensor"":{""time"":27,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.50,0.12,0.67]}}"
2026-02-24T17:51:00.002,"{""sensor"":{""time"":27,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.49,0.12,0.66]}}"
2026-02-24T17:51:00.084,"{""sensor"":{""time"":27,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.48,0.12,0.66]}}"
2026-02-24T17:51:00.213,"{""sensor"":{""time"":28,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.49,0.12,0.70]}}"
2026-02-24T17:51:00.272,"{""sensor"":{""time"":28,""status"":true,""accel"":[0.12,0.20,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.45,0.69,-168.79],""mag"":[0.50,0.12,0.71]}}"
