ts_iso,text
2026-02-02T09:38:05.140,"{""sensor"":{""time"":73652,""status"":true,""class:"":2}}"
2026-02-02T09:38:15.527,"{""sensor"":{""time"":84039,""status"":true,""class:"":2}}"
2026-02-02T09:38:25.924,"{""sensor"":{""time"":94427,""status"":true,""class:"":2}}"
2026-02-02T09:38:36.276,"{""sensor"":{""time"":104814,""status"":true,""class:"":2}}"
2026-02-02T09:38:46.673,"{""sensor"":{""time"":115202,""status"":true,""class:"":2}}"
2026-02-02T09:38:57.070,"{""sensor"":{""time"":125590,""status"":true,""class:"":2}}"
2026-02-02T09:39:07.466,"{""sensor"":{""time"":135977,""status"":true,""class:"":2}}"
2026-02-02T09:39:17.862,"{""sensor"":{""time"":146365,""status"":true,""class:"":2}}"
2026-02-02T09:39:28.258,"{""sensor"":{""time"":156753,""status"":true,""class:"":2}}"
2026-02-02T09:39:38.608,"{""sensor"":{""time"":167140,""status"":true,""class:"":2}}"
2026-02-02T09:39:49.006,"{""sensor"":{""time"":177528,""status"":true,""class:"":2}}"
2026-02-02T09:40:36.932,"{""sensor"":{""time"":11327,""status"":true,""class:"":2}}"
2026-02-02T09:40:47.281,"{""sensor"":{""time"":21714,""status"":true,""class:"":2}}"
2026-02-02T09:40:57.676,"{""sensor"":{""time"":32102,""status"":true,""class:"":2}}"
2026-02-02T09:41:08.071,"{""sensor"":{""time"":42490,""status"":true,""class:"":2}}"
2026-02-02T09:41:18.465,"{""sensor"":{""time"":52878,""status"":true,""class:"":2}}"
2026-02-02T09:41:28.861,"{""sensor"":{""time"":63265,""status"":true,""class:"":2}}"
2026-02-02T09:41:39.256,"{""sensor"":{""time"":73653,""status"":true,""class:"":2}}"
2026-02-02T09:41:49.605,"{""sensor"":{""time"":84041,""status"":true,""class:"":2}}"
2026-02-02T09:41:59.999,"{""sensor"":{""time"":94429,""status"":true,""class:"":2}}"
2026-02-02T09:42:10.394,"{""sensor"":{""time"":104816,""status"":true,""class:"":2}}"
2026-02-02T09:42:20.788,"{""sensor"":{""time"":115204,""status"":true,""class:"":2}}"
2026-02-02T09:42:31.183,"{""sensor"":{""time"":125592,""status"":true,""class:"":2}}"
2026-02-02T09:42:41.622,"{""sensor"":{""time"":135980,""status"":true,""class:"":2}}"
2026-02-02T09:42:51.927,"{""sensor"":{""time"":146368,""status"":true,""class:"":2}}"
2026-02-02T09:43:02.321,"{""sensor"":{""time"":156755,""status"":true,""class:"":2}}"
2026-02-02T09:43:12.716,"{""sensor"":{""time"":167142,""status"":true,""class:"":2}}"
2026-02-02T09:43:23.109,"{""sensor"":{""time"":177530,""status"":true,""class:"":2}}"
2026-02-02T09:43:33.504,"{""sensor"":{""time"":187917,""status"":true,""class:"":2}}"
2026-02-02T09:43:43.854,"{""sensor"":{""time"":198305,""status"":true,""class:"":2}}"
2026-02-02T09:43:54.248,"{""sensor"":{""time"":208692,""status"":true,""class:"":2}}"
2026-02-02T09:44:04.641,"{""sensor"":{""time"":219080,""status"":true,""class:"":2}}"
2026-02-02T09:44:15.036,"{""sensor"":{""time"":229468,""status"":true,""class:"":2}}"
2026-02-02T09:44:25.431,"{""sensor"":{""time"":239855,""status"":true,""class:"":2}}"
2026-02-02T09:44:35.824,"{""sensor"":{""time"":250243,""status"":true,""class:"":2}}"
2026-02-02T09:44:46.174,"{""sensor"":{""time"":260630,""status"":true,""class:"":2}}"
2026-02-02T09:44:56.568,"{""sensor"":{""time"":271017,""status"":true,""class:"":2}}"
2026-02-02T09:45:06.962,"{""sensor"":{""time"":281405,""status"":true,""class:"":2}}"
2026-02-02T09:45:17.355,"{""sensor"":{""time"":291792,""status"":true,""class:"":2}}"
2026-02-02T09:45:27.749,"{""sensor"":{""time"":302180,""status"":true,""class:"":2}}"
2026-02-02T09:45:38.100,"{""sensor"":{""time"":312567,""status"":true,""class:"":2}}"
2026-02-02T09:45:48.494,"{""sensor"":{""time"":322955,""status"":true,""class:"":2}}"
2026-02-02T09:45:58.888,"{""sensor"":{""time"":333343,""status"":true,""class:"":2}}"
2026-02-02T09:46:09.327,"{""sensor"":{""time"":343730,""status"":true,""class:"":2}}"
2026-02-02T09:46:19.676,"{""sensor"":{""time"":354118,""status"":true,""class:"":2}}"
2026-02-02T09:46:30.070,"{""sensor"":{""time"":364505,""status"":true,""class:"":2}}"
2026-02-02T09:46:40.418,"{""sensor"":{""time"":374893,""status"":true,""class:"":2}}"
2026-02-02T09:46:50.817,"{""sensor"":{""time"":385280,""status"":true,""class:"":2}}"
2026-02-02T09:47:01.215,"{""sensor"":{""time"":395668,""status"":true,""class:"":2}}"
2026-02-02T09:47:11.614,"{""sensor"":{""time"":406055,""status"":true,""class:"":2}}"
2026-02-02T09:47:22.012,"{""sensor"":{""time"":416443,""status"":true,""class:"":2}}"
2026-02-02T09:47:32.409,"{""sensor"":{""time"":426830,""status"":true,""class:"":2}}"
2026-02-02T09:47:42.763,"{""sensor"":{""time"":437218,""status"":true,""class:"":2}}"
2026-02-02T09:47:53.160,"{""sensor"":{""time"":447605,""status"":true,""class:"":2}}"
2026-02-02T09:48:03.556,"{""sensor"":{""time"":457993,""status"":true,""class:"":2}}"
2026-02-02T09:48:13.954,"{""sensor"":{""time"":468380,""status"":true,""class:"":2}}"
2026-02-02T09:48:24.348,"{""sensor"":{""time"":478767,""status"":true,""class:"":2}}"
2026-02-02T09:48:34.701,"{""sensor"":{""time"":489155,""status"":true,""class:"":2}}"
2026-02-02T09:48:45.097,"{""sensor"":{""time"":499542,""status"":true,""class:"":2}}"
2026-02-02T09:48:55.494,"{""sensor"":{""time"":509930,""status"":true,""class:"":2}}"
2026-02-02T09:49:05.890,"{""sensor"":{""time"":520317,""status"":true,""class:"":2}}"
2026-02-02T09:49:16.286,"{""sensor"":{""time"":530705,""status"":true,""class:"":2}}"
2026-02-02T09:49:26.681,"{""sensor"":{""time"":541092,""status"":true,""class:"":2}}"
2026-02-02T09:49:37.035,"{""sensor"":{""time"":551480,""status"":true,""class:"":2}}"
2026-02-02T09:49:47.430,"{""sensor"":{""time"":561867,""status"":true,""class:"":2}}"
2026-02-02T09:49:57.824,"{""sensor"":{""time"":572254,""status"":true,""class:"":2}}"
2026-02-02T09:50:08.220,"{""sensor"":{""time"":582642,""status"":true,""class:"":2}}"
2026-02-02T09:50:18.615,"{""sensor"":{""time"":593030,""status"":true,""class:"":2}}"
2026-02-02T09:50:28.965,"{""sensor"":{""time"":603417,""status"":true,""class:"":2}}"
2026-02-02T09:50:39.359,"{""sensor"":{""time"":613805,""status"":true,""class:"":2}}"
2026-02-02T09:50:49.756,"{""sensor"":{""time"":624192,""status"":true,""class:"":2}}"
2026-02-02T09:51:00.150,"{""sensor"":{""time"":634580,""status"":true,""class:"":2}}"
2026-02-02T10:01:33.778,"{""sensor"":{""time"":1268234,""status"":true,""class:"":2}}"
2026-02-02T10:01:44.174,"{""sensor"":{""time"":1278622,""status"":true,""class:"":2}}"
2026-02-02T10:01:54.569,"{""sensor"":{""time"":1289009,""status"":true,""class:"":2}}"
2026-02-02T10:02:05.054,"{""sensor"":{""time"":1299397,""status"":true,""class:"":2}}"
2026-02-02T10:02:15.360,"{""sensor"":{""time"":1309785,""status"":true,""class:"":2}}"
2026-02-02T10:02:25.709,"{""sensor"":{""time"":1320173,""status"":true,""class:"":2}}"
2026-02-02T10:02:36.104,"{""sensor"":{""time"":1330561,""status"":true,""class:"":2}}"
2026-02-02T10:02:46.499,"{""sensor"":{""time"":1340949,""status"":true,""class:"":2}}"
2026-02-02T10:02:56.895,"{""sensor"":{""time"":1351336,""status"":true,""class:"":2}}"
2026-02-02T10:03:07.290,"{""sensor"":{""time"":1361724,""status"":true,""class:"":2}}"
2026-02-02T10:03:17.684,"{""sensor"":{""time"":1372112,""status"":true,""class:"":2}}"
2026-02-02T10:03:28.035,"{""sensor"":{""time"":1382500,""status"":true,""class:"":2}}"
2026-02-02T10:03:38.430,"{""sensor"":{""time"":1392887,""status"":true,""class:"":2}}"
2026-02-02T10:04:16.816,"{""sensor"":{""time"":5205,""status"":true,""class:"":2}}"
2026-02-02T10:04:16.860,"{""sensor"":{""time"":5320,""status"":true,""class:"":2}}"
2026-02-02T10:04:16.950,"{""sensor"":{""time"":5435,""status"":true,""class:"":2}}"
2026-02-02T10:04:17.040,"{""sensor"":{""time"":5551,""status"":true,""class:"":2}}"
2026-02-02T10:04:17.085,"{""sensor"":{""time"":5667,""status"":true,""class:"":2}}"
