ts_iso,text
2026-02-09T16:33:54.728,"{""sensor"":{""time"":19782737,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.744,"{""sensor"":{""time"":19782778,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.772,"{""sensor"":{""time"":19782798,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.788,"{""sensor"":{""time"":19782819,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.833,"{""sensor"":{""time"":19782829,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.848,"{""sensor"":{""time"":19782849,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.877,"{""sensor"":{""time"":19782860,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.893,"{""sensor"":{""time"":19782880,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.922,"{""sensor"":{""time"":19782890,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.953,"{""sensor"":{""time"":19782911,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.982,"{""sensor"":{""time"":19782931,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:54.999,"{""sensor"":{""time"":19782941,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.042,"{""sensor"":{""time"":19782962,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.057,"{""sensor"":{""time"":19782972,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.073,"{""sensor"":{""time"":19782992,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.102,"{""sensor"":{""time"":19783003,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.118,"{""sensor"":{""time"":19783023,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.146,"{""sensor"":{""time"":19783044,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.163,"{""sensor"":{""time"":19783054,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.192,"{""sensor"":{""time"":19783074,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.208,"{""sensor"":{""time"":19783085,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.237,"{""sensor"":{""time"":19783105,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.253,"{""sensor"":{""time"":19783116,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.282,"{""sensor"":{""time"":19783136,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.298,"{""sensor"":{""time"":19783156,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.327,"{""sensor"":{""time"":19783167,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.358,"{""sensor"":{""time"":19783188,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.388,"{""sensor"":{""time"":19783198,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.404,"{""sensor"":{""time"":19783218,""status"":true,""steps"":0,""cadence"":0}}"
2026-02-09T16:33:55.433,"{""sensor"":{""time"":19783229,""status"":true,""steps"":0,""cadence"":0}}"
